endpoint,status,row_count,error,output_file
player_shot_charts,OK,0,,,200,0.67,0
player_adjusted_shooting,OK,0,,,200,0.54,0
player_play_by_play,OK,0,,,200,3.23,0
player_game_highs,OK,0,,,200,3.23,0
player_all_star,OK,0,,,200,3.34,0
player_similarity_scores,OK,0,,,200,0.81,0
player_salaries,OK,0,,,200,3.11,0
team_roster,OK,0,,,200,0.94,0
team_injury_report,OK,0,,,200,0.71,0
team_and_opponent,OK,0,,,200,0.75,0
team_misc_four_factors,OK,0,,,200,0.64,0
team_schedule,OK,0,,,200,0.79,0
team_transactions,OK,0,,,200,0.89,0
team_splits,OK,0,,,200,2.03,0
team_contracts,OK,0,,,200,0.75,0
team_lineups,OK,0,,,200,2.06,0
team_starting_lineups,OK,0,,,200,0.83,0
team_on_off,OK,0,,,200,1.99,0
team_opponent_stats,OK,0,,,200,0.85,0
franchise_history,OK,0,,,200,0.93,0
